U+349A	온
U+34D7	결
U+3515	글
U+3521	별
U+35FF	하
U+3614	새
U+363D	재
U+366F	예
U+36C3	결
U+36C4	의
U+36C5	이
U+36E6	람
U+3723	연
U+372F	희
U+373A	찬
U+3762	우
U+37BC	승
U+380C	기
U+3818	서
U+3883	랑
U+38BA	현
U+38E7	윤
U+38FD	서
U+3960	서
U+3965	우
U+3983	산
U+3986	하
U+3990	니
U+3995	륭
U+39A5	헌
U+39B3	재
U+39B6	용
U+3A39	설
U+3AA4	필
U+3ADC	단
U+3AF0	랑
U+3AF6	주
U+3B03	대
U+3B23	대
U+3B79	현
U+3BDD	로
U+3BF3	경
U+3C14	섭
U+3C24	하
U+3C2D	후
U+3CBD	인
U+3CBE	우
U+3CFC	필
U+3D0D	승
U+3D17	유
U+3D5F	미
U+3DBC	애
U+3DC2	서
U+3EC4	보
U+3EED	슬
U+3EFD	선
U+3F04	기
U+402D	해
U+402F	보
U+4034	영
U+4062	선
U+40A9	연
U+40C9	민
U+4104	인
U+4137	석
U+41AC	운
U+4259	운
U+43BB	주
U+43C7	표
U+43E7	나
U+43EA	이
U+4450	진
U+4512	배
U+45F2	린
U+4618	어
U+46B7	혜
U+46BE	임
U+46D4	나
U+46D8	임
U+46DD	노
U+472D	예
U+476C	주
U+476E	현
U+477D	애
U+479F	백
U+4863	헌
U+4883	예
U+4896	율
U+48A6	솔
U+4925	귀
U+493F	결
U+499E	윤
U+49A5	한
U+49CB	현
U+4A12	우
U+4A2D	소
U+4AB8	민
U+4ADF	운
U+4AE8	오
U+4AFB	율
U+4B53	안
U+4B71	별
U+4CDF	명
U+4CE0	수
U+4D1B	소
U+4D65	울
U+4E00	일
U+4E01	정
U+4E03	칠
U+4E07	만
U+4E08	장
U+4E09	삼
U+4E0A	상
U+4E0B	하
U+4E0D	불
U+4E11	축
U+4E14	차
U+4E15	비
U+4E16	세
U+4E18	구
U+4E19	병
U+4E1E	승
U+4E1F	주
U+4E26	병
U+4E2B	아
U+4E2D	중
U+4E30	봉
U+4E31	관
U+4E32	관
U+4E38	환
U+4E39	단
U+4E3B	주
U+4E42	예
U+4E43	내
U+4E45	구
U+4E4B	지
U+4E4D	사
U+4E4E	호
U+4E4F	핍
U+4E56	괴
U+4E58	승
U+4E59	을
U+4E5D	구
U+4E5E	걸
U+4E5F	야
U+4E67	둘
U+4E6B	갈
U+4E6C	걸
U+4E6D	돌
U+4E73	유
U+4E76	볼
U+4E77	살
U+4E79	건
U+4E7A	솔
U+4E7B	얼
U+4E7C	줄
U+4E7E	건
U+4E82	란
U+4E86	료
U+4E88	여
U+4E8B	사
U+4E8C	이
U+4E8E	우
U+4E8F	우
U+4E90	울
U+4E91	운
U+4E92	호
U+4E94	오
U+4E95	정
U+4E98	긍
U+4E99	긍
U+4E9B	사
U+4E9C	아
U+4E9E	아
U+4E9F	극
U+4EA1	망
U+4EA2	항
U+4EA4	교
U+4EA5	해
U+4EA6	역
U+4EA8	형
U+4EAB	향
U+4EAC	경
U+4EAD	정
U+4EAE	량
U+4EB0	경
U+4EB3	박
U+4EB4	우
U+4EB6	단
U+4EB9	미
U+4EBA	인
U+4EC0	십
U+4EC1	인
U+4EC4	측
U+4EC6	부
U+4EC7	구
U+4ECA	금
U+4ECB	개
U+4ECD	잉
U+4ED4	자
U+4ED5	사
U+4ED6	타
U+4ED7	장
U+4ED8	부
U+4ED9	선
U+4EDD	동
U+4EDE	인
U+4EDF	천
U+4EE1	흘
U+4EE3	대
U+4EE4	령
U+4EE5	이
U+4EEE	가
U+4EF0	앙
U+4EF2	중
U+4EF3	비
U+4EF5	오
U+4EF6	건
U+4EF7	개
U+4EFB	임
U+4EFD	빈
U+4EFF	방
U+4F00	종
U+4F01	기
U+4F03	여
U+4F09	항
U+4F0A	이
U+4F0B	급
U+4F0D	오
U+4F0E	기
U+4F0F	복
U+4F10	벌
U+4F11	휴
U+4F18	우
U+4F1A	회
U+4F2F	백
U+4F30	고
U+4F34	반
U+4F36	령
U+4F38	신
U+4F3A	사
U+4F3C	사
U+4F3D	가
U+4F3E	비
U+4F42	정
U+4F43	전
U+4F46	단
U+4F47	저
U+4F48	포
U+4F49	구
U+4F4B	소
U+4F4D	위
U+4F4E	저
U+4F4F	주
U+4F50	좌
U+4F51	우
U+4F53	분
U+4F54	점
U+4F55	하
U+4F56	필
U+4F57	타
U+4F59	여
U+4F5A	일
U+4F5B	불
U+4F5C	작
U+4F5D	구
U+4F5E	녕
U+4F5F	퉁
U+4F69	패
